id,First name,Last name,Date of birth,Country of birth,City of birth,Year of award,Category,Motivation
389,Osamu,Shimomura,8/27/1928,Japan,Kyoto,2008.0,chemistry,"for the discovery and development of the green fluorescent protein, GFP"
390,Martin,Chalfie,1/15/1947,USA,"Chicago, IL",2008.0,chemistry,"for the discovery and development of the green fluorescent protein, GFP"
391,Roger Y.,Tsien,2/1/1952,USA,"New York, NY",2008.0,chemistry,"for the discovery and development of the green fluorescent protein, GFP"
392,Osamu,Shimomura,8/27/1928,Japan,Kyoto,2008.0,chemistry,"for the discovery and development of the green fluorescent protein, GFP"
393,Roger Y.,Tsien,2/1/1952,USA,"New York, NY",2008.0,chemistry,"for the discovery and development of the green fluorescent protein, GFP"
394,Pavel Alekseyevich,Cherenkov,7/28/1904,Russia,Novaya Chigla,1958.0,physics,for the discovery and the interpretation of the Cherenkov effect
395,Il‚ja Mikhailovich,Frank,10/23/1908,Russia,Leningrad (now Saint Petersburg),1958.0,physics,for the discovery and the interpretation of the Cherenkov effect
396,Igor Yevgenyevich,Tamm,07/08/1895,Russia,Vladivostok,1958.0,physics,for the discovery and the interpretation of the Cherenkov effect
397,Joseph H.,Taylor Jr.,3/29/1941,USA,"Philadelphia, PA",1993.0,physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
398,Russell A.,Hulse,11/28/1950,USA,"New York, NY",1993.0,physics,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation"
399,Frank,Wilczek,5/15/1951,USA,"New York, NY",2004.0,physics,for the discovery of asymptotic freedom in the theory of the strong interaction
400,H. David,Politzer,8/31/1949,USA,"New York, NY",2004.0,physics,for the discovery of asymptotic freedom in the theory of the strong interaction
401,David J.,Gross,2/19/1941,USA,"Washington, DC",2004.0,physics,for the discovery of asymptotic freedom in the theory of the strong interaction
402,Peter,Grônberg,5/18/1939,Czechoslovakia (now Czech Republic),Plzen,2007.0,physics,for the discovery of Giant Magnetoresistance
403,Albert,Fert,3/7/1938,France,Carcassonne,2007.0,physics,for the discovery of Giant Magnetoresistance
404,Jack W.,Szostak,11/9/1952,United Kingdom,London,2009.0,medicine,for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase
405,John James Rickard,Macleod,09/06/1876,Scotland,Cluny,1923.0,medicine,for the discovery of insulin
406,Frederick Grant,Banting,11/14/1891,Canada,Alliston,1923.0,medicine,for the discovery of insulin
407,Takaaki,Kajita,3/9/1959,Japan,Higashimatsuyama,2015.0,physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
408,Arthur B.,McDonald,8/29/1943,Canada,Sydney,2015.0,physics,"for the discovery of neutrino oscillations, which shows that neutrinos have mass"
409,Erwin,Schr_dinger,08/12/1887,Austria,Vienna,1933.0,physics,for the discovery of new productive forms of atomic theory
410,Paul Adrien Maurice,Dirac,8/8/1902,United Kingdom,Bristol,1933.0,physics,for the discovery of new productive forms of atomic theory
411,Sir Alexander,Fleming,08/06/1881,Scotland,Lochfield,1945.0,medicine,for the discovery of penicillin and its curative effect in various infectious diseases
412,Ernst Boris,Chain,6/19/1906,Germany,Berlin,1945.0,medicine,for the discovery of penicillin and its curative effect in various infectious diseases
413,Sir Howard Walter,Florey,09/24/1898,Australia,Adelaide,1945.0,medicine,for the discovery of penicillin and its curative effect in various infectious diseases
414,Dan,Shechtman,1/24/1941,British Mandate of Palestine (now Israel),Tel Aviv,2011.0,chemistry,for the discovery of quasicrystals
415,Hamilton O.,Smith,8/23/1931,USA,"New York, NY",1978.0,medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics
416,Daniel,Nathans,10/30/1928,USA,"Wilmington, DE",1978.0,medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics
417,Werner,Arber,6/3/1929,Switzerland,Gr_nichen,1978.0,medicine,for the discovery of restriction enzymes and their application to problems of molecular genetics
418,Adam G.,Riess,12/16/1969,USA,"Washington, DC",2011.0,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
419,Brian P.,Schmidt,2/24/1967,USA,"Missoula, MT",2011.0,physics,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae
420,Gerhard,Domagk,10/30/1895,Germany (now Poland),Lagow,1939.0,medicine,for the discovery of the antibacterial effects of prontosil
421,Aage Niels,Bohr,6/19/1922,Denmark,Copenhagen,1975.0,physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
422,Ben Roy,Mottelson,7/9/1926,USA,"Chicago, IL",1975.0,physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
423,Leo James,Rainwater,12/9/1917,USA,"Council, ID",1975.0,physics,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection
424,Wolfgang,Pauli,4/25/1900,Austria,Vienna,1945.0,physics,"for the discovery of the Exclusion Principle, also called the Pauli Principle"
425,Yoichiro,Nambu,1/18/1921,Japan,Tokyo,2008.0,physics,for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics
426,James,Chadwick,10/20/1891,United Kingdom,Manchester,1935.0,physics,for the discovery of the neutron
427,Toshihide,Maskawa,2/7/1940,Japan,Nagoya,2008.0,physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
428,Makoto,Kobayashi,4/7/1944,Japan,Nagoya,2008.0,physics,for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature
429,Hermann Joseph,Muller,12/21/1890,USA,"New York, NY",1946.0,medicine,for the discovery of the production of mutations by means of X-ray irradiation
430,Klaus,von Klitzing,6/28/1943,German-occupied Poland (now Poland),Schroda,1985.0,physics,for the discovery of the quantized Hall effect
431,Lars,Onsager,11/27/1903,Norway,Kristiania (now Oslo),1968.0,chemistry,"for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes"
432,Corneille Jean Francois,Heymans,03/28/1892,Belgium,Ghent,1938.0,medicine,for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration
433,Victor,Grignard,05/06/1871,France,Cherbourg,1912.0,chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"
434,Martin L.,Perl,6/24/1927,USA,"New York, NY",1995.0,physics,for the discovery of the tau lepton
435,Avram,Hershko,12/31/1937,Hungary,Karcag,2004.0,chemistry,for the discovery of ubiquitin-mediated protein degradation
436,Aaron,Ciechanover,10/1/1947,British Protectorate of Palestine (now Israel),Haifa,2004.0,chemistry,for the discovery of ubiquitin-mediated protein degradation
437,Irwin,Rose,7/16/1926,USA,"Brooklyn, NY",2004.0,chemistry,for the discovery of ubiquitin-mediated protein degradation
438,James Watson,Cronin,9/29/1931,USA,"Chicago, IL",1980.0,physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
439,Val Logsdon,Fitch,3/10/1923,USA,"Merriman, NE",1980.0,physics,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons
440,Peter,Agre,1/30/1949,USA,"Northfield, MN",2003.0,chemistry,for the discovery of water channels
441,Sir John B.,Gurdon,10/2/1933,United Kingdom,Dippenhall,2012.0,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent
442,Shinya,Yamanaka,9/4/1962,Japan,Osaka,2012.0,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent
443,Shinya,Yamanaka,9/4/1962,Japan,Osaka,2012.0,medicine,for the discovery that mature cells can be reprogrammed to become pluripotent
444,Gonter,Blobel,5/21/1936,Germany (now Poland),Waltersdorf (now Niegoslawice),1999.0,medicine,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell
445,Ivo,Andric,10/10/1892,Bosnia (now Bosnia and Herzegovina),Dolac,1961.0,literature,for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
446,Aleksandr Isayevich,Solzhenitsyn,12/11/1918,Russia,Kislovodsk,1970.0,literature,for the ethical force with which he has pursued the indispensable traditions of Russian literature
447,Jens C.,Skou,10/8/1918,Denmark,Lemvig,1997.0,chemistry,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase"
448,Jacinto,Benavente,08/12/1866,Spain,Madrid,1922.0,literature,for the happy manner in which he has continued the illustrious traditions of the Spanish drama
449,Saul,Bellow,6/10/1915,Canada,Montreal,1976.0,literature,for the human understanding and subtle analysis of contemporary culture that are combined in his work
450,Ernest Orlando,Lawrence,8/8/1901,USA,"Canton, SD",1939.0,physics,"for the invention and development of the cyclotron and for results obtained with it, especially with regard to artificial radioactive elements"
451,Percy Williams,Bridgman,04/21/1882,USA,"Cambridge, MA",1946.0,physics,"for the invention of an apparatus to produce extremely high pressures, and for the discoveries he made therewith in the field of high pressure physics"
452,George E.,Smith,5/10/1930,USA,"White Plains, NY",2009.0,physics,for the invention of an imaging semiconductor circuit - the CCD sensor
453,Willard S.,Boyle,8/19/1924,Canada,"Amherst, NS",2009.0,physics,for the invention of an imaging semiconductor circuit - the CCD sensor
454,Hiroshi,Amano,9/11/1960,Japan,Hamamatsu,2014.0,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
455,Isamu,Akasaki,1/30/1929,Japan,Chiran,2014.0,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
456,Isamu,Akasaki,1/30/1929,Japan,Chiran,2014.0,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
457,Shuji,Nakamura,5/22/1954,Japan,Ikata,2014.0,physics,for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources
458,Donald Arthur,Glaser,9/21/1926,USA,"Cleveland, OH",1960.0,physics,for the invention of the bubble chamber
459,Norman F.,Ramsey,8/27/1915,USA,"Washington, DC",1989.0,physics,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks
460,Leon M.,Lederman,7/15/1922,USA,"New York, NY",1988.0,physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
461,Jack,Steinberger,5/25/1921,Germany,Bad Kissingen,1988.0,physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
462,Melvin,Schwartz,11/2/1932,USA,"New York, NY",1988.0,physics,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino
463,Eugene Gladstone,O'Neill,10/16/1888,USA,"New York, NY",1936.0,literature,"for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy"
464,Johannes Vilhelm,Jensen,01/20/1873,Denmark,FarsË,1944.0,literature,"for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style"
465,Paul A.,Samuelson,5/15/1915,USA,"Gary, IN",1970.0,economics,for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science
466,Adolf Otto Reinhold,Windaus,12/25/1876,Germany,Berlin,1928.0,chemistry,for the services rendered through his research into the constitution of the sterols and their connection with the vitamins
467,Saint-John,Perse,05/31/1887,Guadeloupe Island,Pointe-š-Pitre,1960.0,literature,for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time
468,Ivan Alekseyevich,Bunin,10/22/1870,Russia,Voronezh,1933.0,literature,for the strict artistry with which he has carried on the classical Russian traditions in prose writing
469,Fritz,Haber,12/09/1868,Prussia (now Poland),Breslau (now Wroclaw),1918.0,chemistry,for the synthesis of ammonia from its elements
470,Francois,Englert,11/6/1932,Belgium,Etterbeek,2013.0,physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
471,Peter W.,Higgs,5/29/1929,United Kingdom,Newcastle upon Tyne,2013.0,physics,"for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider"
472,Alvin E.,Roth,12/18/1951,USA,"New York, NY",2012.0,economics,for the theory of stable allocations and the practice of market design
473,Lloyd S.,Shapley,6/2/1923,USA,"Cambridge, MA",2012.0,economics,for the theory of stable allocations and the practice of market design
474,George A.,Akerlof,6/17/1940,USA,"New Haven, CT",2001.0,economics,for their analyses of markets with asymmetric information
475,Joseph E.,Stiglitz,2/9/1943,USA,"Gary, IN",2001.0,economics,for their analyses of markets with asymmetric information
476,Dale T.,Mortensen,2/2/1939,USA,"Enterprise, OR",2010.0,economics,for their analysis of markets with search frictions
477,Peter A.,Diamond,4/29/1940,USA,"New York, NY",2010.0,economics,for their analysis of markets with search frictions
478,Dale T.,Mortensen,2/2/1939,USA,"Enterprise, OR",2010.0,economics,for their analysis of markets with search frictions
479,Christopher A.,Pissarides,2/20/1948,Cyprus,Nicosia,2010.0,economics,for their analysis of markets with search frictions
480,Nicolaas,Bloembergen,3/11/1920,the Netherlands,Dordrecht,1981.0,physics,for their contribution to the development of laser spectroscopy
481,Arthur Leonard,Schawlow,5/5/1921,USA,"Mount Verno, NY",1981.0,physics,for their contribution to the development of laser spectroscopy
482,William H.,Stein,6/25/1911,USA,"New York, NY",1972.0,chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
483,Stanford,Moore,9/4/1913,USA,"Chicago, IL",1972.0,chemistry,for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule
484,Frederick,Sanger,8/13/1918,United Kingdom,Rendcombe,1980.0,chemistry,for their contributions concerning the determination of base sequences in nucleic acids
485,Walter,Gilbert,3/21/1932,USA,"Boston, MA",1980.0,chemistry,for their contributions concerning the determination of base sequences in nucleic acids
486,Yuan T.,Lee,11/19/1936,Taiwan,Hsinchu,1986.0,chemistry,for their contributions concerning the dynamics of chemical elementary processes
487,Dudley R.,Herschbach,6/18/1932,USA,"San Jos_, CA",1986.0,chemistry,for their contributions concerning the dynamics of chemical elementary processes
488,John C.,Polanyi,1/23/1929,Germany,Berlin,1986.0,chemistry,for their contributions concerning the dynamics of chemical elementary processes
489,Edward C.,Prescott,12/26/1940,USA,"Glens Falls, NY",2004.0,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
490,Finn E.,Kydland,12/1/1943,Norway,Gjesdal,2004.0,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
491,Edward C.,Prescott,12/26/1940,USA,"Glens Falls, NY",2004.0,economics,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles
492,John L.,Hall,8/21/1934,USA,"Denver, CO",2005.0,physics,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
493,Theodor W.,H_nsch,10/30/1941,Germany,Heidelberg,2005.0,physics,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique"
494,Derek H. R.,Barton,9/8/1918,United Kingdom,Gravesend,1969.0,chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
495,Odd,Hassel,05/17/1897,Norway,Kristiania (now Oslo),1969.0,chemistry,for their contributions to the development of the concept of conformation and its application in chemistry
496,Leonid Vitaliyevich,Kantorovich,1/19/1912,Russian Empire (now Russia),St. Petersburg,1975.0,economics,for their contributions to the theory of optimum allocation of resources
497,Tjalling C.,Koopmans,8/28/1910,the Netherlands,s Graveland,1975.0,economics,for their contributions to the theory of optimum allocation of resources
498,Sheldon Lee,Glashow,12/5/1932,USA,"New York, NY",1979.0,physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
499,Steven,Weinberg,5/3/1933,USA,"New York, NY",1979.0,physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
500,Abdus,Salam,1/29/1926,India (now Pakistan),Jhang Maghi,1979.0,physics,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current"
501,Carlo,Rubbia,3/31/1934,Italy,Gorizia,1984.0,physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
502,Simon,van der Meer,11/24/1925,the Netherlands,the Hague,1984.0,physics,"for their decisive contributions to the large project, which led to the discovery of the field particles W and Z, communicators of weak interaction"
503,Heinrich,Rohrer,6/6/1933,Switzerland,Buchs,1986.0,physics,for their design of the scanning tunneling microscope
504,Gerd,Binnig,7/20/1947,West Germany (now Germany),Frankfurt-on-the-Main,1986.0,physics,for their design of the scanning tunneling microscope
505,Donald J.,Cram,4/22/1919,USA,"Chester, VT",1987.0,chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
506,Jean-Marie,Lehn,9/30/1939,France,Rosheim,1987.0,chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
507,Jean-Marie,Lehn,9/30/1939,France,Rosheim,1987.0,chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
508,Charles J.,Pedersen,10/3/1904,Korea (now South Korea),Pusan,1987.0,chemistry,for their development and use of molecules with structure-specific interactions of high selectivity
509,Edward Mills,Purcell,8/30/1912,USA,"Taylorville, IL",1952.0,physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
510,Felix,Bloch,10/23/1905,Switzerland,Zurich,1952.0,physics,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
511,Koichi,Tanaka,8/3/1959,Japan,Toyama City,2002.0,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
512,John B.,Fenn,6/15/1917,USA,"New York, NY",2002.0,chemistry,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules
513,Georg,Wittig,06/16/1897,Germany,Berlin,1979.0,chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
514,Herbert C.,Brown,5/22/1912,United Kingdom,London,1979.0,chemistry,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis"
515,William C.,Campbell,6/28/1930,Ireland,Ramelton,2015.0,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
516,Satoshi,Mura,7/12/1935,Japan,Yamanashi Prefecture,2015.0,medicine,for their discoveries concerning a novel therapy against infections caused by roundworm parasites
517,Andre,Lwoff,5/8/1902,France,Ainay-le-Chateau,1965.0,medicine,for their discoveries concerning genetic control of enzyme and virus synthesis
518,Jacques,Monod,2/9/1910,France,Paris,1965.0,medicine,for their discoveries concerning genetic control of enzyme and virus synthesis
519,Francois,Jacob,6/17/1920,France,Nancy,1965.0,medicine,for their discoveries concerning genetic control of enzyme and virus synthesis
520,Sydney,Brenner,1/13/1927,South Africa,Germiston,2002.0,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death'
521,John E.,Sulston,3/27/1942,United Kingdom,Cambridge,2002.0,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death'
522,H. Robert,Horvitz,5/8/1947,USA,"Chicago, IL",2002.0,medicine,for their discoveries concerning genetic regulation of organ development and programmed cell death'
523,George D.,Snell,12/19/1903,USA,"Bradford, MA",1980.0,medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
524,Baruj,Benacerraf,10/29/1920,Venezuela,Caracas,1980.0,medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
525,Jean,Dausset,10/19/1916,France,Toulouse,1980.0,medicine,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions
526,Werner,Forssmann,8/29/1904,Germany,Berlin,1956.0,medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
527,Werner,Forssmann,8/29/1904,Germany,Berlin,1956.0,medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
528,Andre,Cournand,09/24/1895,France,Paris,1956.0,medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
529,Dickinson W.,Richards,10/30/1895,USA,"Orange, NJ",1956.0,medicine,for their discoveries concerning heart catheterization and pathological changes in the circulatory system
530,Torsten N.,Wiesel,6/3/1924,Sweden,Uppsala,1981.0,medicine,for their discoveries concerning information processing in the visual system
531,David H.,Hubel,2/27/1926,Canada,"Windsor, ON",1981.0,medicine,for their discoveries concerning information processing in the visual system
532,William Parry,Murphy,02/06/1892,USA,"Stoughton, WI",1934.0,medicine,for their discoveries concerning liver therapy in cases of anaemia
533,George Richards,Minot,12/02/1885,USA,"Boston, MA",1934.0,medicine,for their discoveries concerning liver therapy in cases of anaemia
534,William Parry,Murphy,02/06/1892,USA,"Stoughton, WI",1934.0,medicine,for their discoveries concerning liver therapy in cases of anaemia
535,George Hoyt,Whipple,08/28/1878,USA,"Ashland, NH",1934.0,medicine,for their discoveries concerning liver therapy in cases of anaemia
536,Sir Peter,Mansfield,10/9/1933,United Kingdom,London,2003.0,medicine,for their discoveries concerning magnetic resonance imaging
537,Paul C.,Lauterbur,5/6/1929,USA,"Sidney, OH",2003.0,medicine,for their discoveries concerning magnetic resonance imaging
538,D. Carleton,Gajdusek,9/9/1923,USA,"Yonkers, NY",1976.0,medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
539,Baruch S.,Blumberg,7/28/1925,USA,"New York, NY",1976.0,medicine,for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases
540,Robert F.,Furchgott,6/4/1916,USA,"Charleston, SC",1998.0,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
541,Ferid,Murad,9/14/1936,USA,"Whiting, IN",1998.0,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
542,Louis J.,Ignarro,5/31/1941,USA,"Brooklyn, NY",1998.0,medicine,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system
543,J. Hans D.,Jensen,6/25/1907,Germany,Hamburg,1963.0,physics,for their discoveries concerning nuclear shell structure
544,Joseph E.,Murray,4/1/1919,USA,"Milford, MA",1990.0,medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease
545,E. Donnall,Thomas,3/15/1920,USA,"Mart, TX",1990.0,medicine,for their discoveries concerning organ and cell transplantation in the treatment of human disease
546,Konrad,Lorenz,11/7/1903,Austria,Vienna,1973.0,medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
547,Karl,von Frisch,11/20/1886,Austria,Vienna,1973.0,medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
548,Nikolaas,Tinbergen,4/15/1907,the Netherlands,the Hague,1973.0,medicine,for their discoveries concerning organization and elicitation of individual and social behaviour patterns
549,John R.,Vane,3/29/1927,United Kingdom,Tardebigg,1982.0,medicine,for their discoveries concerning prostaglandins and related biologically active substances
550,Bengt I.,Samuelsson,5/21/1934,Sweden,Halmstad,1982.0,medicine,for their discoveries concerning prostaglandins and related biologically active substances
551,Sune K.,Bergstr_m,1/10/1916,Sweden,Stockholm,1982.0,medicine,for their discoveries concerning prostaglandins and related biologically active substances
552,Edwin G.,Krebs,6/6/1918,USA,"Lansing, IA",1992.0,medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
553,Edmond H.,Fischer,4/6/1920,China,Shanghai,1992.0,medicine,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism
554,Arvid,Carlsson,1/25/1923,Sweden,Uppsala,2000.0,medicine,for their discoveries concerning signal transduction in the nervous system
555,Paul,Greengard,12/11/1925,USA,"New York, NY",2000.0,medicine,for their discoveries concerning signal transduction in the nervous system
556,Eric R.,Kandel,11/7/1929,Austria,Vienna,2000.0,medicine,for their discoveries concerning signal transduction in the nervous system
557,Bruce A.,Beutler,12/29/1957,USA,"Chicago, IL",2011.0,medicine,for their discoveries concerning the activation of innate immunity
558,Bruce A.,Beutler,12/29/1957,USA,"Chicago, IL",2011.0,medicine,for their discoveries concerning the activation of innate immunity
559,Jules A.,Hoffmann,8/2/1941,Luxembourg,Echternach,2011.0,medicine,for their discoveries concerning the activation of innate immunity
560,Gerald M.,Edelman,7/1/1929,USA,"New York, NY",1972.0,medicine,for their discoveries concerning the chemical structure of antibodies
561,Rodney R.,Porter,10/8/1917,United Kingdom,Newton-le-Willows,1972.0,medicine,for their discoveries concerning the chemical structure of antibodies
562,Erwin,Neher,3/20/1944,Germany,Landsberg,1991.0,medicine,for their discoveries concerning the function of single ion channels in cells
563,Bert,Sakmann,6/12/1942,Germany,Stuttgart,1991.0,medicine,for their discoveries concerning the function of single ion channels in cells
564,Edward B.,Lewis,5/19/1918,USA,"Wilkes-Barre, PA",1995.0,medicine,for their discoveries concerning the genetic control of early embryonic development
565,Eric F.,Wieschaus,6/8/1947,USA,"South Bend, IN",1995.0,medicine,for their discoveries concerning the genetic control of early embryonic development
566,Julius,Axelrod,5/30/1912,USA,"New York, NY",1970.0,medicine,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"
567,Sir Bernard,Katz,3/26/1911,Germany,Leipzig,1970.0,medicine,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"
568,Ulf,von Euler,2/7/1905,Sweden,Stockholm,1970.0,medicine,"for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation"
569,David,Baltimore,3/7/1938,USA,"New York, NY",1975.0,medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
570,Renato,Dulbecco,2/22/1914,Italy,Catanzaro,1975.0,medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
571,Howard Martin,Temin,12/10/1934,USA,"Philadelphia, PA",1975.0,medicine,for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell
572,Alan Lloyd,Hodgkin,2/5/1914,United Kingdom,Banbury,1963.0,medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
573,Sir John Carew,Eccles,1/27/1903,Australia,Melbourne,1963.0,medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
574,Andrew Fielding,Huxley,11/22/1917,United Kingdom,Hampstead,1963.0,medicine,for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane
575,Konrad,Bloch,1/21/1912,Germany (now Poland),Neisse (now Nysa),1964.0,medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
576,Feodor,Lynen,4/6/1911,Germany,Munich,1964.0,medicine,for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism
577,Francis Harry Compton,Crick,6/8/1916,United Kingdom,Northampton,1962.0,medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
578,James Dewey,Watson,4/6/1928,USA,"Chicago, IL",1962.0,medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
579,Maurice Hugh Frederick,Wilkins,12/15/1916,New Zealand,Pongaroa,1962.0,medicine,for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material
580,Andrew V.,Schally,11/30/1926,Poland (now Lithuania),Wilno (now Vilnius),1977.0,medicine,for their discoveries concerning the peptide hormone production of the brain
581,Roger,Guillemin,1/11/1924,France,Dijon,1977.0,medicine,for their discoveries concerning the peptide hormone production of the brain
582,George,Wald,11/18/1906,USA,"New York, NY",1967.0,medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye
583,Haldan Keffer,Hartline,12/22/1903,USA,"Bloomsburg, PA",1967.0,medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye
584,Ragnar,Granit,10/30/1900,Russian Empire (now Finland),Helsinki,1967.0,medicine,for their discoveries concerning the primary physiological and chemical visual processes in the eye
585,Joseph L.,Goldstein,4/18/1940,USA,"Sumter, SC",1985.0,medicine,for their discoveries concerning the regulation of cholesterol metabolism
