id,Name,Minimum players,Maximum players,Average game time,Year released,Mechanics,Category,Designer,More info URL
2325,Black Stories,2.0,15.0,20.0,2004.0,Storytelling,"Card Game, Deduction, Horror, Humor, Murder/Mystery, Party Game",Holger Bösch,https://boardgamegeek.com/boardgame/18803/black-stories
2326,Cry Havoc,2.0,2.0,240.0,1981.0,Hex-and-Counter,"Medieval, Wargame","Gary Chalk, Tony Webster",https://boardgamegeek.com/boardgame/1323/cry-havoc
2327,Axis & Allies Miniatures,2.0,2.0,60.0,2005.0,"Campaign / Battle Card Driven, Card Drafting, Dice Rolling, Roll / Spin and Move","Collectible Components, Miniatures, Wargame, World War II","Richard Baker, Paul Barclay, Aaron Forsythe, Devin Low, Jonathan Tweet",https://boardgamegeek.com/boardgame/17970/axis-allies-miniatures
2328,Successors (second edition),2.0,4.0,180.0,1997.0,"Campaign / Battle Card Driven, Point to Point Movement","Ancient, Wargame","Richard H. Berg, Mark Simonitch",https://boardgamegeek.com/boardgame/68/successors-second-edition
2329,Penny Press,2.0,5.0,60.0,2015.0,"Area Control / Area Influence, Auction/Bidding, Worker Placement",Industry / Manufacturing,"Robert Dijkman Dulkes, Matt Golec",https://boardgamegeek.com/boardgame/148205/penny-press
2330,Ark,3.0,5.0,45.0,2005.0,"Card Drafting, Set Collection, Tile Placement","Animals, Religious","Doris Matthäus, Frank Nestel",https://boardgamegeek.com/boardgame/19947/ark
2331,Lost Legacy: Second Chronicle ? Vorpal Sword & Whitegold Spire,2.0,6.0,10.0,2015.0,"Hand Management, Memory, Player Elimination","Bluffing, Card Game, Deduction","Seiji Kanai, Hayato Kisaragi, Masato Uesugi",https://boardgamegeek.com/boardgame/173319/lost-legacy-second-chronicle-vorpal-sword-whitegol
2332,Dog,2.0,6.0,45.0,1997.0,Partnerships,"Card Game, Racing",(Uncredited),https://boardgamegeek.com/boardgame/2633/dog
2333,Twilight Imperium (Second Edition),2.0,6.0,240.0,2000.0,"Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Trading, Variable Phase Order, Variable Player Powers, Voting","Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,https://boardgamegeek.com/boardgame/26055/twilight-imperium-second-edition
2334,Blackbeard,1.0,4.0,180.0,1991.0,"Hex-and-Counter, Variable Player Powers","Adventure, Age of Reason, Nautical, Pirates, Wargame",Richard H. Berg,https://boardgamegeek.com/boardgame/235/blackbeard
2335,Igel Ärgern,2.0,6.0,30.0,1990.0,Roll / Spin and Move,"Animals, Children's Game, Dice, Racing","Doris Matthäus, Frank Nestel",https://boardgamegeek.com/boardgame/95/igel-argern
2336,The Expanse Board Game,2.0,4.0,75.0,2017.0,"Action Point Allowance System, Area Control / Area Influence, Campaign / Battle Card Driven, Variable Player Powers","Movies / TV / Radio theme, Science Fiction",Geoff Engelstein,https://boardgamegeek.com/boardgame/220792/expanse-board-game
2337,Secrets,4.0,8.0,35.0,2017.0,"Card Drafting, Partnerships, Press Your Luck, Take That","Bluffing, Card Game, Deduction, Party Game, Spies/Secret Agents","Bruno Faidutti, Eric M. Lang",https://boardgamegeek.com/boardgame/200847/secrets
2338,Luchador! Mexican Wrestling Dice,2.0,6.0,15.0,2013.0,"Dice Rolling, Partnerships, Press Your Luck","Action / Dexterity, Dice, Sports",Mark Rivera,https://boardgamegeek.com/boardgame/143075/luchador-mexican-wrestling-dice
2339,Family Business,2.0,6.0,30.0,1982.0,"Hand Management, Player Elimination, Take That","Card Game, Mafia",David B. Bromley,https://boardgamegeek.com/boardgame/170/family-business
2340,1862: Railway Mania in the Eastern Counties,2.0,8.0,300.0,2013.0,"Auction/Bidding, Route/Network Building, Stock Holding, Tile Placement","Economic, Trains",Mike Hutton,https://boardgamegeek.com/boardgame/66837/1862-railway-mania-eastern-counties
2341,Tanto Cuore: Romantic Vacation,2.0,4.0,30.0,2010.0,"Card Drafting, Deck / Pool Building, Hand Management",Card Game,Masayuki Kudou,https://boardgamegeek.com/boardgame/75448/tanto-cuore-romantic-vacation
2342,Illuminati: New World Order,2.0,6.0,120.0,1994.0,"Action Point Allowance System, Deck / Pool Building, Dice Rolling, Hand Management, Tile Placement, Variable Player Powers","Card Game, Collectible Components, Humor, Negotiation, Political, Science Fiction",Steve Jackson (I),https://boardgamegeek.com/boardgame/1552/illuminati-new-world-order
2343,Potato Man,2.0,5.0,40.0,2013.0,Trick-taking,Card Game,"Günter Burkhardt, Wolfgang A. Lehmann",https://boardgamegeek.com/boardgame/137155/potato-man
2344,Khet 2.0,2.0,2.0,30.0,2011.0,Grid Movement,"Abstract Strategy, Electronic","Luke Hooper, Michael Larson, Del Segura",https://boardgamegeek.com/boardgame/91034/khet-20
2345,Noria,2.0,4.0,120.0,2017.0,Deck / Pool Building,"Economic, Fantasy, Industry / Manufacturing",Sophia Wagner,https://boardgamegeek.com/boardgame/233676/noria
2346,Tournament at Camelot,3.0,6.0,45.0,2017.0,"Trick-taking, Variable Player Powers",Card Game,"Karen Boginski, Jody Boginski-Barbessi, Kenneth C. Shannon, III",https://boardgamegeek.com/boardgame/216632/tournament-camelot
2347,Soviet Dawn,1.0,1.0,60.0,2009.0,"Action Point Allowance System, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement","Civil War, Wargame",Darin A. Leviloff,https://boardgamegeek.com/boardgame/40107/soviet-dawn
2348,Clubs,2.0,6.0,30.0,2013.0,"Press Your Luck, Trick-taking",Card Game,Dominic Crapuchettes,https://boardgamegeek.com/boardgame/125924/clubs
2349,Thunder Road,2.0,4.0,45.0,1986.0,"Dice Rolling, Modular Board, Roll / Spin and Move","Fighting, Racing, Science Fiction",Jim Keifer,https://boardgamegeek.com/boardgame/804/thunder-road
2350,The Game of 49,2.0,5.0,45.0,2014.0,"Area Control / Area Influence, Auction/Bidding, Pattern Building, Pattern Recognition",Economic,Mark Corsey,https://boardgamegeek.com/boardgame/159492/game-49
2351,Hnefatafl,2.0,2.0,20.0,400.0,Grid Movement,Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/2932/hnefatafl
2352,Temporum,2.0,5.0,35.0,2014.0,"Area Control / Area Influence, Hand Management, Modular Board, Point to Point Movement","Age of Reason, Ancient, Card Game, Medieval, Science Fiction",Donald X. Vaccarino,https://boardgamegeek.com/boardgame/162263/temporum
2353,Heart of Crown,2.0,4.0,30.0,2011.0,"Card Drafting, Deck / Pool Building, Hand Management, Variable Player Powers","Card Game, Fantasy",ginkgo,https://boardgamegeek.com/boardgame/131904/heart-crown
2354,Lost Valley: The Yukon Goldrush 1896,2.0,6.0,45.0,2014.0,"Modular Board, Tile Placement","American West, Exploration","Tobias Goslar, Roland Goslar, Johannes Goslar",https://boardgamegeek.com/boardgame/130605/lost-valley-yukon-goldrush-1896
2355,Struggle for Catan,2.0,4.0,45.0,2011.0,"Hand Management, Trading","Card Game, City Building",Klaus Teuber,https://boardgamegeek.com/boardgame/91534/struggle-catan
2356,Flowerpower,1.0,2.0,30.0,2001.0,"Area Control / Area Influence, Tile Placement",Abstract Strategy,"Angelika Fassauer, Peter Haluszka",https://boardgamegeek.com/boardgame/1545/flowerpower
2357,Fireball Island,2.0,4.0,45.0,1986.0,"Hand Management, Roll / Spin and Move","Action / Dexterity, Adventure, Children's Game, Racing","ANJAR, Chuck Kennedy, Bruce Lund",https://boardgamegeek.com/boardgame/1768/fireball-island
2358,Amazonas,3.0,4.0,50.0,2005.0,"Hand Management, Route/Network Building, Set Collection, Simultaneous Action Selection","Animals, Exploration",Stefan Dorra,https://boardgamegeek.com/boardgame/15157/amazonas
2359,Gloria Picktoria,2.0,5.0,45.0,1996.0,"Card Drafting, Set Collection",Card Game,"Mick Ado, Alan R. Moon",https://boardgamegeek.com/boardgame/247/gloria-picktoria
2360,Infinite City,2.0,6.0,45.0,2009.0,"Area Control / Area Influence, Hand Management, Tile Placement","City Building, Science Fiction, Territory Building",Brent Keith,https://boardgamegeek.com/boardgame/46807/infinite-city
2361,Sheepland,2.0,4.0,30.0,2012.0,"Action Point Allowance System, Area Movement, Dice Rolling, Point to Point Movement, Stock Holding","Abstract Strategy, Animals, Farming","Simone Luciani, Daniele Tascini",https://boardgamegeek.com/boardgame/123576/sheepland
2362,Saga,2.0,4.0,120.0,2011.0,"Dice Rolling, Variable Player Powers","Medieval, Miniatures, Wargame",Alexandre Buchel,https://boardgamegeek.com/boardgame/101865/saga
2363,Nippon Rails,2.0,4.0,240.0,1992.0,"Crayon Rail System, Pick-up and Deliver, Route/Network Building","Economic, Trains, Transportation","Joe Roznai, Larry Roznai",https://boardgamegeek.com/boardgame/1830/nippon-rails
2364,Camp Grizzly,1.0,6.0,60.0,2013.0,"Co-operative Play, Player Elimination","Fighting, Horror, Humor, Mature / Adult",Jason Topolski,https://boardgamegeek.com/boardgame/143096/camp-grizzly
2365,OctoDice,1.0,4.0,30.0,2015.0,"Dice Rolling, Set Collection",Dice,Christoph Toussaint,https://boardgamegeek.com/boardgame/180231/octodice
2366,Valley of the Mammoths,3.0,6.0,180.0,1991.0,"Dice Rolling, Modular Board, Player Elimination","Civilization, Fighting, Prehistoric",Bruno Faidutti,https://boardgamegeek.com/boardgame/2535/valley-mammoths
2367,Brawl,2.0,7.0,15.0,1999.0,Variable Player Powers,"Card Game, Fighting, Real-time",James Ernest,https://boardgamegeek.com/boardgame/392/brawl
2368,Grant Takes Command,2.0,2.0,120.0,2001.0,Hex-and-Counter,"American Civil War, Wargame","Joseph M. Balkoski, Ed Beach",https://boardgamegeek.com/boardgame/1821/grant-takes-command
2369,Among the Stars: Revival,2.0,6.0,30.0,2015.0,"Card Drafting, Simultaneous Action Selection, Tile Placement, Variable Phase Order","Card Game, Science Fiction","Vangelis Bagiartakis, Panagiotis Zinoviadis",https://boardgamegeek.com/boardgame/170318/among-stars-revival
2370,Othello,2.0,2.0,30.0,1883.0,"Area Enclosure, Tile Placement",Abstract Strategy,"John W. Mollett, Lewis Waterman",https://boardgamegeek.com/boardgame/2389/othello
2371,Penny Arcade: The Game ? Gamers vs. Evil,2.0,4.0,30.0,2011.0,"Card Drafting, Deck / Pool Building, Hand Management, Variable Player Powers","Card Game, Comic Book / Strip, Video Game Theme","Ben Cichoski, Mike Donais, Paul Sottosanti",https://boardgamegeek.com/boardgame/97803/penny-arcade-game-gamers-vs-evil
2372,Bitter Woods (fourth edition),2.0,4.0,240.0,2003.0,"Dice Rolling, Hex-and-Counter","Dice, Wargame, World War II",Randy Heller,https://boardgamegeek.com/boardgame/10174/bitter-woods-fourth-edition
2373,Assault on Hoth: The Empire Strikes Back,2.0,2.0,90.0,1988.0,"Campaign / Battle Card Driven, Dice Rolling, Hex-and-Counter","Movies / TV / Radio theme, Science Fiction, Wargame",Paul Murphy,https://boardgamegeek.com/boardgame/3548/assault-hoth-empire-strikes-back
2374,PIX,4.0,9.0,30.0,2012.0,Pattern Recognition,"Party Game, Real-time","Laurent Escoffier, David Franck",https://boardgamegeek.com/boardgame/67181/pix
2375,Compatibility,4.0,6.0,30.0,1996.0,"Partnerships, Simultaneous Action Selection","Card Game, Party Game, Word Game",Craig Browne (I),https://boardgamegeek.com/boardgame/2604/compatibility
2376,Camel Up Cards,2.0,6.0,60.0,2016.0,"Betting/Wagering, Hand Management",Card Game,Steffen Bogen,https://boardgamegeek.com/boardgame/192947/camel-cards
2377,Tavarua,1.0,6.0,60.0,2016.0,"Hand Management, Press Your Luck, Simultaneous Action Selection",Sports,Cody Miller,https://boardgamegeek.com/boardgame/186323/tavarua
2378,Fist of Dragonstones,3.0,6.0,45.0,2002.0,"Auction/Bidding, Set Collection","Bluffing, Fantasy, Medieval","Bruno Faidutti, Michael Schacht",https://boardgamegeek.com/boardgame/4471/fist-dragonstones
2379,Rising Sun,3.0,5.0,120.0,2018.0,"Area Control / Area Influence, Card Drafting, Deck / Pool Building, Hand Management, Partnerships, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Fantasy, Miniatures, Mythology, Negotiation, Wargame",Eric M. Lang,https://boardgamegeek.com/boardgame/205896/rising-sun
2380,Ascension X: War of Shadows,2.0,4.0,45.0,2016.0,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Fantasy","Gary Arant, Justin Gary",https://boardgamegeek.com/boardgame/200456/ascension-x-war-shadows
2381,Lunar Rails,2.0,6.0,240.0,2003.0,"Crayon Rail System, Pick-up and Deliver, Route/Network Building","Economic, Science Fiction, Trains, Transportation",M. Robert Stribula,https://boardgamegeek.com/boardgame/6663/lunar-rails
2382,Spaceteam,3.0,6.0,5.0,2015.0,"Co-operative Play, Hand Management, Memory, Trading","Card Game, Real-time, Science Fiction, Space Exploration","Tim Hutchings, Mathew Sisson",https://boardgamegeek.com/boardgame/184491/spaceteam
2383,Pow Wow,3.0,8.0,30.0,2006.0,none,"Bluffing, Deduction, Party Game",Spartaco Albertarelli,https://boardgamegeek.com/boardgame/31545/pow-wow
2384,Origins:  How We Became Human,2.0,5.0,180.0,2007.0,"Auction/Bidding, Card Drafting, Point to Point Movement, Simulation","Civilization, Prehistoric",Phil Eklund,https://boardgamegeek.com/boardgame/29256/origins-how-we-became-human
2385,I Go!,2.0,4.0,30.0,2003.0,"Card Drafting, Hand Management, Pattern Building, Set Collection","Card Game, Nautical, Pirates",Leo Colovini,https://boardgamegeek.com/boardgame/8552/i-go
2386,Illuminati,2.0,6.0,120.0,1982.0,none,"Card Game, Novel-based, Political",Steve Jackson (I),https://boardgamegeek.com/boardgame/859/illuminati
2387,Beasty Bar: New Beasts in Town,2.0,4.0,20.0,2015.0,"Hand Management, Take That","Animals, Card Game","Stefan Kloß, Anna Oppolzer",https://boardgamegeek.com/boardgame/181617/beasty-bar-new-beasts-town
2388,Joraku,3.0,4.0,60.0,2015.0,"Area Control / Area Influence, Trick-taking",Medieval,Iori Tsukinami (?????),https://boardgamegeek.com/boardgame/180901/joraku
2389,Zombie in my Pocket,1.0,1.0,5.0,2007.0,"Modular Board, Pick-up and Deliver, Tile Placement","Adventure, Exploration, Fighting, Horror, Print & Play, Zombies",Jeremiah Lee,https://boardgamegeek.com/boardgame/33468/zombie-my-pocket
2390,Spinderella,2.0,4.0,20.0,2015.0,none,"Action / Dexterity, Animals, Children's Game, Racing",Roberto Fraga,https://boardgamegeek.com/boardgame/171129/spinderella
2391,Pax Britannica,4.0,7.0,300.0,1985.0,"Dice Rolling, Voting","Negotiation, Political, Post-Napoleonic, Wargame",Greg Costikyan,https://boardgamegeek.com/boardgame/1209/pax-britannica
2392,Metallum,2.0,2.0,60.0,2013.0,"Action / Movement Programming, Area Control / Area Influence, Card Drafting, Modular Board, Simultaneous Action Selection","Economic, Science Fiction, Space Exploration","Wojtek Krupnik, Wojtek Wojcik",https://boardgamegeek.com/boardgame/148271/metallum
2393,Shipwrights of the North Sea,2.0,5.0,60.0,2014.0,"Card Drafting, Commodity Speculation, Hand Management, Trading","Medieval, Nautical",Shem Phillips,https://boardgamegeek.com/boardgame/75547/shipwrights-north-sea
2394,Warmaster,2.0,99.0,120.0,2000.0,"Dice Rolling, Variable Player Powers","Book, Fantasy, Miniatures, Wargame","Alessio Cavatore, Stephan Hess, Rick Priestley",https://boardgamegeek.com/boardgame/4985/warmaster
2395,Animal Upon Animal: Balancing Bridge,2.0,4.0,15.0,2010.0,none,"Action / Dexterity, Animals, Children's Game",Klaus Miltenberger,https://boardgamegeek.com/boardgame/84464/animal-upon-animal-balancing-bridge
2396,Smash Up: What Were We Thinking?,2.0,2.0,45.0,2017.0,none,Card Game,Paul Peterson,https://boardgamegeek.com/boardgame/216658/smash-what-were-we-thinking
2397,The Settlers of Zarahemla,2.0,4.0,90.0,2003.0,"Dice Rolling, Modular Board, Set Collection, Trading","Ancient, Civilization, Religious",Klaus Teuber,https://boardgamegeek.com/boardgame/6778/settlers-zarahemla
2398,Melee,2.0,2.0,15.0,1977.0,"Dice Rolling, Hex-and-Counter, Variable Player Powers","Adventure, Fantasy, Fighting, Wargame",Steve Jackson (I),https://boardgamegeek.com/boardgame/3464/melee
2399,Divine Right,2.0,6.0,360.0,1979.0,"Dice Rolling, Hex-and-Counter, Variable Phase Order","Fantasy, Political, Wargame","Glenn Rahman, Kenneth Rahman",https://boardgamegeek.com/boardgame/23/divine-right
2400,Legendary: Big Trouble in Little China,2.0,5.0,60.0,2016.0,"Card Drafting, Co-operative Play, Deck / Pool Building","Card Game, Movies / TV / Radio theme",Rob Heinsoo,https://boardgamegeek.com/boardgame/200171/legendary-big-trouble-little-china
2401,California,2.0,5.0,60.0,2006.0,"Set Collection, Tile Placement",Economic,Michael Schacht,https://boardgamegeek.com/boardgame/21464/california
2402,Rory's Story Cubes: Voyages,1.0,12.0,20.0,2011.0,"Co-operative Play, Dice Rolling, Pattern Recognition, Storytelling","Children's Game, Dice, Educational, Humor, Party Game, Puzzle",Rory O'Connor,https://boardgamegeek.com/boardgame/115233/rorys-story-cubes-voyages
2403,Kings of Israel,2.0,4.0,45.0,2014.0,"Action Point Allowance System, Co-operative Play, Hand Management, Point to Point Movement, Set Collection, Variable Player Powers","Ancient, Religious",Lance Hill,https://boardgamegeek.com/boardgame/142084/kings-israel
2404,Perdition's Mouth: Abyssal Rift,1.0,6.0,180.0,2016.0,"Action Point Allowance System, Campaign / Battle Card Driven, Co-operative Play, Hand Management, Variable Phase Order, Variable Player Powers","Fantasy, Horror, Miniatures, Puzzle","Thomas Klausner, Timo Multamäki, Kevin Wilson",https://boardgamegeek.com/boardgame/149787/perditions-mouth-abyssal-rift
2405,Road Kill Rally,3.0,6.0,90.0,2010.0,"Dice Rolling, Modular Board","Fighting, Humor, Racing",Daniel A. George (I),https://boardgamegeek.com/boardgame/65225/road-kill-rally
2406,Baltic Gap,2.0,2.0,240.0,2009.0,"Dice Rolling, Hex-and-Counter, Simulation","Wargame, World War II","Dean Essig, John Kisner, Hans Mielants",https://boardgamegeek.com/boardgame/39328/baltic-gap
2407,Florenza: The Card Game,2.0,4.0,60.0,2013.0,"Hand Management, Set Collection","City Building, Economic, Renaissance",Stefano Groppi,https://boardgamegeek.com/boardgame/143484/florenza-card-game
2408,"Warhammer 40,000 (fourth edition)",2.0,6.0,60.0,2004.0,"Dice Rolling, Modular Board, Variable Player Powers","Fantasy, Miniatures, Science Fiction","Andy Chambers, Pete Haines, Jervis Johnson, Rick Priestley",https://boardgamegeek.com/boardgame/13362/warhammer-40000-fourth-edition
2409,Smarty Party!,3.0,8.0,60.0,2003.0,none,"Party Game, Trivia","Pitt Crandlemire, Aaron Weissblum",https://boardgamegeek.com/boardgame/7062/smarty-party
2410,Auf Achse,2.0,6.0,60.0,1987.0,"Auction/Bidding, Pick-up and Deliver, Roll / Spin and Move","Economic, Transportation",Wolfgang Kramer,https://boardgamegeek.com/boardgame/110/auf-achse
2411,Granada,2.0,6.0,60.0,2009.0,"Commodity Speculation, Set Collection, Tile Placement","City Building, Renaissance",Dirk Henn,https://boardgamegeek.com/boardgame/58099/granada
2412,Starfighter,2.0,2.0,30.0,2015.0,"Hand Management, Take That","Card Game, Science Fiction",Stéphane Boudin,https://boardgamegeek.com/boardgame/171226/starfighter
2413,Maharani,2.0,4.0,40.0,2012.0,"Pattern Building, Set Collection, Tile Placement",Abstract Strategy,Wolfgang Panning,https://boardgamegeek.com/boardgame/118402/maharani
2414,Time's Up! Academy,4.0,12.0,30.0,2009.0,"Acting, Memory, Partnerships","Humor, Party Game",Peter Sarrett,https://boardgamegeek.com/boardgame/46158/times-academy
2415,Survive: Space Attack!,2.0,4.0,60.0,2015.0,"Action Point Allowance System, Dice Rolling, Modular Board, Secret Unit Deployment","Science Fiction, Space Exploration","Julian Courtland-Smith, Brian Engelstein, Geoff Engelstein, Sydney Engelstein",https://boardgamegeek.com/boardgame/177147/survive-space-attack
2416,La Bataille des Quatre Bras,1.0,2.0,1000.0,1991.0,Hex-and-Counter,"Napoleonic, Wargame",Ed Wimble,https://boardgamegeek.com/boardgame/12896/la-bataille-des-quatre-bras
2417,Men of Iron,2.0,2.0,180.0,2005.0,Hex-and-Counter,"Medieval, Wargame",Richard H. Berg,https://boardgamegeek.com/boardgame/14683/men-iron
2418,Go Cuckoo!,2.0,5.0,15.0,2016.0,none,"Action / Dexterity, Children's Game, Party Game","Josep M. Allué, Víktor Bautista i Roca",https://boardgamegeek.com/boardgame/192547/go-cuckoo
2419,Shadowfist,2.0,7.0,60.0,1995.0,Hand Management,"Card Game, Collectible Components, Fighting","Jose Garcia, Robin D. Laws",https://boardgamegeek.com/boardgame/3475/shadowfist
2420,Dungeon Run,1.0,6.0,60.0,2011.0,"Area Movement, Dice Rolling, Modular Board, Variable Player Powers","Adventure, Exploration, Fantasy, Miniatures",Mr. Bistro,https://boardgamegeek.com/boardgame/66424/dungeon-run
2421,Twilight Imperium,2.0,6.0,240.0,1997.0,"Dice Rolling, Hex-and-Counter, Modular Board, Tile Placement, Variable Player Powers, Voting","Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,https://boardgamegeek.com/boardgame/24/twilight-imperium
2422,Rat-a-Tat Cat,2.0,6.0,10.0,1995.0,"Card Drafting, Memory, Take That","Animals, Card Game, Children's Game, Memory","Monty Stambler, Ann Stambler",https://boardgamegeek.com/boardgame/3837/rat-tat-cat
2423,Age of Mythology: The Boardgame,2.0,4.0,180.0,2003.0,"Campaign / Battle Card Driven, Dice Rolling, Rock-Paper-Scissors, Secret Unit Deployment, Variable Phase Order, Variable Player Powers","Ancient, Civilization, Mythology, Video Game Theme",Glenn Drover,https://boardgamegeek.com/boardgame/6707/age-mythology-boardgame
2424,Order of the Gilded Compass,2.0,5.0,60.0,2016.0,"Area Control / Area Influence, Dice Rolling","Adventure, Dice","Jeffrey D. Allers, Bernd Eisenstein",https://boardgamegeek.com/boardgame/200924/order-gilded-compass
2425,Strife: Legacy of the Eternals,2.0,2.0,60.0,2014.0,"Hand Management, Pattern Building, Simultaneous Action Selection","Card Game, Fantasy",Christopher Hamm,https://boardgamegeek.com/boardgame/159632/strife-legacy-eternals
2426,Kingdom of Heaven: The Crusader States 1097-1291,2.0,2.0,180.0,2012.0,"Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement, Variable Phase Order, Variable Player Powers","Arabian, Medieval, Religious, Wargame",Scott de Brestian,https://boardgamegeek.com/boardgame/25900/kingdom-heaven-crusader-states-1097-1291
2427,Dragon's Hoard,2.0,4.0,45.0,2014.0,"Card Drafting, Hand Management, Set Collection","Adventure, Card Game, Fantasy",Nathanael Mortensen,https://boardgamegeek.com/boardgame/136594/dragons-hoard
2428,The Extraordinary Adventures of Baron Munchausen,3.0,20.0,45.0,1998.0,"Auction/Bidding, Role Playing, Storytelling","Adventure, Party Game",James Wallis,https://boardgamegeek.com/boardgame/2470/extraordinary-adventures-baron-munchausen
2429,The Stars Are Right,2.0,4.0,55.0,2008.0,"Hand Management, Modular Board, Pattern Building, Pattern Recognition, Tile Placement","Card Game, Horror, Puzzle",Klaus Westerhoff,https://boardgamegeek.com/boardgame/37696/stars-are-right
2430,Stonewall in the Valley,2.0,2.0,180.0,1995.0,Hex-and-Counter,"American Civil War, Wargame",Joseph M. Balkoski,https://boardgamegeek.com/boardgame/4214/stonewall-valley
2431,Rock the Beat,4.0,12.0,30.0,2008.0,"Acting, Memory, Pattern Recognition","Action / Dexterity, Humor, Music, Party Game, Real-time",Gabriel Ecoutin,https://boardgamegeek.com/boardgame/37728/rock-beat
2432,Australian Rails,2.0,6.0,240.0,1994.0,"Crayon Rail System, Pick-up and Deliver, Route/Network Building","Economic, Trains, Transportation","Larry Roznai, Loren Roznai",https://boardgamegeek.com/boardgame/935/australian-rails
2433,Pathfinder Adventure Card Game: Mummy's Mask ? Base Set,1.0,4.0,120.0,2016.0,"Co-operative Play, Deck / Pool Building, Dice Rolling, Hand Management, Role Playing, Variable Player Powers","Card Game, Fantasy, Fighting","Chad Brown, Tanis O'Connor, Paul Peterson, Keith Richmond, Mike Selinker, Liz Spain, Gaby Weidling",https://boardgamegeek.com/boardgame/187687/pathfinder-adventure-card-game-mummys-mask-base-se
2434,Empires of the Middle Ages,1.0,6.0,360.0,1980.0,Voting,"Civilization, Economic, Medieval, Political, Wargame","Anthony F. Buccini, Jim Dunnigan, Redmond A. Simonsen",https://boardgamegeek.com/boardgame/911/empires-middle-ages
2435,Dracula,2.0,2.0,30.0,2003.0,"Hand Management, Memory, Secret Unit Deployment","Horror, Novel-based",Michael Rieneck,https://boardgamegeek.com/boardgame/7804/dracula
2436,Star Munchkin,3.0,6.0,90.0,2002.0,"Card Drafting, Dice Rolling, Take That, Trading, Variable Player Powers","Card Game, Fighting, Humor, Science Fiction",Steve Jackson (I),https://boardgamegeek.com/boardgame/4095/star-munchkin
2437,Maka Bana,2.0,6.0,60.0,2003.0,"Secret Unit Deployment, Simultaneous Action Selection","Bluffing, Card Game, City Building",François Haffner,https://boardgamegeek.com/boardgame/8147/maka-bana
2438,Talisman (third edition),2.0,8.0,120.0,1994.0,"Dice Rolling, Role Playing, Roll / Spin and Move, Variable Player Powers","Adventure, Exploration, Fantasy, Fighting",Jervis Johnson,https://boardgamegeek.com/boardgame/5336/talisman-third-edition
2439,The Game: Extreme,1.0,5.0,30.0,2016.0,Co-operative Play,"Card Game, Number","Steffen Benndorf, Reinhard Staupe",https://boardgamegeek.com/boardgame/209325/game-extreme
2440,Carrier,1.0,1.0,360.0,1990.0,"Dice Rolling, Hex-and-Counter","Aviation / Flight, Nautical, Wargame, World War II",Jon Southard,https://boardgamegeek.com/boardgame/1679/carrier
2441,Zombie State: Diplomacy of the Dead,2.0,5.0,180.0,2010.0,"Action Point Allowance System, Area Control / Area Influence, Area Movement, Dice Rolling","Industry / Manufacturing, Medical, Zombies",John Werner,https://boardgamegeek.com/boardgame/61484/zombie-state-diplomacy-dead
2442,War at Sea (second edition),2.0,2.0,120.0,1976.0,"Area Movement, Dice Rolling","Nautical, Wargame, World War II",John Edwards,https://boardgamegeek.com/boardgame/1431/war-sea-second-edition
2443,Vampire Empire,2.0,2.0,30.0,2012.0,Hand Management,"Bluffing, Card Game, Deduction, Medieval",Filip Mi?u?ski,https://boardgamegeek.com/boardgame/128698/vampire-empire
2444,Alchemist,2.0,5.0,50.0,2007.0,"Area Control / Area Influence, Set Collection","Economic, Medieval",Carlo A. Rossi,https://boardgamegeek.com/boardgame/27385/alchemist
2445,Across 5 Aprils,2.0,2.0,180.0,1992.0,"Chit-Pull System, Dice Rolling, Hex-and-Counter","American Civil War, Wargame",Eric Lee Smith,https://boardgamegeek.com/boardgame/4047/across-5-aprils
2446,Munchkin Booty,3.0,6.0,90.0,2008.0,"Dice Rolling, Trading, Variable Player Powers","Card Game, Fighting, Humor, Pirates",Steve Jackson (I),https://boardgamegeek.com/boardgame/31920/munchkin-booty
2447,Pylos,2.0,2.0,10.0,1994.0,none,Abstract Strategy,David G. Royffe,https://boardgamegeek.com/boardgame/1419/pylos
2448,Imperium,2.0,2.0,180.0,1977.0,"Hex-and-Counter, Point to Point Movement, Variable Player Powers","Science Fiction, Wargame","Frank Chadwick, John Harshman, Marc W. Miller",https://boardgamegeek.com/boardgame/3661/imperium
2449,Bughouse Chess,4.0,4.0,10.0,1960.0,"Grid Movement, Partnerships",Abstract Strategy,(Uncredited),https://boardgamegeek.com/boardgame/14188/bughouse-chess
2450,Tally Ho!,2.0,2.0,30.0,1973.0,Grid Movement,Animals,Rudi Hoffmann,https://boardgamegeek.com/boardgame/908/tally-ho
2451,Day & Night,2.0,2.0,45.0,2008.0,"Area Control / Area Influence, Hand Management, Pattern Building, Tile Placement, Variable Player Powers","Abstract Strategy, Fantasy","Valentijn Eekels, Sebastiaan van den Roovaart",https://boardgamegeek.com/boardgame/35935/day-night
